CustomerID,Recency,Frequency,Monetary,Segment
12346,325,1,77183.6,Regular
12347,1,7,4310.0,High-Value
12348,74,4,1797.24,Regular
12349,18,1,1757.55,Occasional
12350,309,1,334.4,At-Risk
12352,35,8,2506.04,Regular
12353,203,1,89.0,At-Risk
12354,231,1,1079.4,At-Risk
12355,213,1,459.4,At-Risk
12356,22,3,2811.43,Regular
12357,32,1,6207.67,Regular
12358,1,2,1168.06,Occasional
12359,57,4,6310.03,Regular
12360,51,3,2662.06,Regular
12361,286,1,189.9,At-Risk
12362,2,10,5226.23,High-Value
12363,109,2,552.0,At-Risk
12364,7,4,1313.1,Occasional
12365,290,2,641.38,At-Risk
12367,3,1,168.9,Occasional
12370,50,4,3541.94,Regular
12371,44,2,1887.96,Regular
12372,71,3,1298.04,Regular
12373,310,1,364.6,At-Risk
12374,24,1,742.9300000000001,Occasional
12375,10,2,457.5,Occasional
12377,314,2,1628.12,Regular
12378,129,1,4008.62,Regular
12379,81,2,852.24,Regular
12380,21,4,2724.81,Regular
12381,4,5,1845.31,High-Value
12383,184,5,1850.56,Regular
12384,28,2,585.27,Occasional
12386,337,2,401.9,At-Risk
12388,15,6,2780.66,High-Value
12390,79,1,549.84,At-Risk
12391,21,1,439.66,Occasional
12393,71,4,1582.6000000000001,Regular
12394,63,2,1272.48,Regular
12395,18,12,3018.63,High-Value
12397,35,2,2409.9,Regular
12398,45,1,1635.6599999999999,Regular
12399,118,4,1108.65,Regular
12401,302,1,84.3,At-Risk
12402,322,1,225.6,At-Risk
12403,49,1,427.7,At-Risk
12405,148,1,1710.39,At-Risk
12406,21,2,3415.3,Regular
12407,49,5,1708.1200000000001,Regular
12408,32,5,2888.55,Regular
12409,78,3,11072.67,Regular
12410,308,2,693.3299999999999,At-Risk
12412,74,3,1226.88,Regular
12413,66,3,758.1,Regular
12414,216,3,562.41,At-Risk
12415,23,21,124914.53,High-Value
12417,2,9,3649.1,High-Value
12418,112,1,668.58,At-Risk
12420,63,1,600.39,At-Risk
12421,15,4,807.04,Occasional
12422,95,3,803.5600000000001,Regular
12423,0,8,1859.31,High-Value
12424,162,2,1760.96,Regular
12425,77,1,777.2,At-Risk
12426,194,1,582.73,At-Risk
12427,21,3,825.8,Occasional
12428,25,9,7956.46,High-Value
12429,8,4,3750.4,High-Value
12430,42,1,256.4,At-Risk
12431,35,15,6419.95,High-Value
12432,42,5,5059.32,Regular
12433,0,7,13375.87,High-Value
12434,84,2,806.14,Regular
12435,79,2,7829.89,Regular
12436,99,1,509.01,At-Risk
12437,1,18,4951.41,High-Value
12438,13,2,2906.85,Regular
12441,366,1,173.55,At-Risk
12442,2,1,172.06,Occasional
12444,20,5,5005.46,Regular
12445,21,1,133.4,Occasional
12446,57,1,1002.3100000000001,At-Risk
12447,242,1,476.49,At-Risk
12448,43,1,449.45,At-Risk
12449,21,4,4067.29,Regular
12450,155,2,197.88,At-Risk
12451,10,5,9035.52,High-Value
12452,16,2,430.57,Occasional
12453,133,1,707.09,At-Risk
12454,55,1,3528.34,Regular
12455,72,6,2466.86,Regular
12456,43,3,3181.04,Regular
12457,65,7,2363.23,Regular
12458,70,2,947.4,Regular
12461,93,2,826.88,Regular
12462,18,2,1189.59,Occasional
12463,52,4,1344.78,Regular
12464,9,8,1212.05,High-Value
12465,16,2,742.1899999999999,Occasional
12468,187,2,729.5400000000001,At-Risk
12471,1,30,19788.65,High-Value
12472,31,7,6572.11,High-Value
12473,28,5,3928.0499999999997,Regular
12474,16,18,7324.09,High-Value
12475,53,1,723.38,At-Risk
12476,15,11,6816.42,High-Value
12477,22,6,13219.74,High-Value
12478,3,1,680.99,Occasional
12479,10,1,527.2,Occasional
12480,27,4,3281.63,Regular
12481,22,10,5579.82,High-Value
12483,16,8,2484.98,High-Value
12484,32,6,4527.32,Regular
12488,9,3,1298.66,Occasional
12489,335,1,334.93,At-Risk
12490,4,10,5417.93,High-Value
12491,38,1,460.40000000000003,Occasional
12492,62,2,263.21000000000004,At-Risk
12493,165,2,433.74,At-Risk
12494,15,7,1246.1000000000001,Regular
12497,81,1,1043.1,At-Risk
12498,20,3,403.70000000000005,Occasional
12500,22,11,4257.82,High-Value
12501,336,1,2169.39,At-Risk
12502,95,5,3723.87,Regular
12504,17,2,482.04999999999995,Occasional
12506,232,1,73.5,At-Risk
12507,133,3,1304.81,Regular
12508,25,2,397.88,Occasional
12509,283,1,176.5,At-Risk
12510,142,2,982.5699999999999,Regular
12512,65,2,132.18,At-Risk
12513,112,1,612.29,At-Risk
12514,266,1,1017.68,At-Risk
12515,352,1,383.7,At-Risk
12516,77,2,1312.06,Regular
12517,27,5,2481.6,Regular
12518,0,5,2056.89,High-Value
12519,63,1,330.84,At-Risk
12520,78,5,2634.26,Regular
12521,142,1,599.68,At-Risk
12522,38,2,192.72,Occasional
12523,18,11,1789.77,High-Value
12524,8,8,4485.72,High-Value
12526,0,3,1316.66,Occasional
12527,81,3,348.71000000000004,At-Risk
12528,8,6,1933.48,High-Value
12530,59,4,1662.28,Regular
12531,14,1,125.22,Occasional
12532,29,1,349.83000000000004,Occasional
12534,130,1,1089.18,At-Risk
12535,91,2,716.35,At-Risk
12536,42,3,12601.830000000002,Regular
12538,28,1,363.95,Occasional
12539,21,4,5568.35,Regular
12540,19,17,13400.24,High-Value
12541,29,3,981.18,Regular
12544,35,1,372.7,Occasional
12545,74,2,1000.39,Regular
12546,46,2,1161.5,Regular
12547,197,2,207.79999999999998,At-Risk
12548,165,1,95.19999999999999,At-Risk
12550,78,1,964.83,At-Risk
12551,357,1,168.0,At-Risk
12552,38,2,437.82,Occasional
12553,7,10,3692.28,High-Value
12556,49,2,599.56,Occasional
12557,15,5,11990.960000000001,High-Value
12558,7,1,269.96,Occasional
12559,310,2,561.71,At-Risk
12560,4,3,2134.01,Occasional
12561,302,1,238.85,At-Risk
12562,7,7,3781.7400000000002,High-Value
12564,260,1,456.9,At-Risk
12565,288,1,145.92,At-Risk
12566,85,1,351.65,At-Risk
12567,22,10,9401.28,High-Value
12569,1,32,4124.69,High-Value
12571,39,2,519.61,Occasional
12572,8,2,1020.42,Occasional
12573,226,1,160.54000000000002,At-Risk
12574,315,1,218.45,At-Risk
12576,35,5,1315.83,Regular
12577,34,3,626.6,Regular
12578,20,2,2794.51,Regular
12579,77,1,440.42,At-Risk
12580,246,1,415.7,At-Risk
12581,39,1,197.71,At-Risk
12582,238,2,511.36,At-Risk
12583,2,15,7281.38,High-Value
12584,3,9,2338.15,High-Value
12585,233,2,2040.1,Regular
12586,16,1,196.94000000000003,Occasional
12587,7,1,144.0,Occasional
12588,38,1,214.89999999999998,At-Risk
12589,28,2,646.68,Occasional
12590,210,2,9864.26,Regular
12591,316,1,452.84999999999997,At-Risk
12592,91,2,437.6,At-Risk
12593,108,3,418.09999999999997,At-Risk
12594,37,10,3338.2200000000003,High-Value
12596,50,2,618.27,Regular
12597,18,4,3811.22,Regular
12598,9,8,3023.08,High-Value
12599,28,7,1032.58,Regular
12600,28,10,2599.04,High-Value
12601,189,5,577.0600000000001,Regular
12602,58,1,153.12,At-Risk
12603,21,1,739.1999999999999,Occasional
12604,78,2,254.18,At-Risk
12607,59,1,1579.51,Regular
12609,77,3,1126.85,Regular
12610,22,5,2099.54,Regular
12611,51,1,1193.32,Regular
12612,73,1,704.0400000000001,At-Risk
12613,56,5,3344.38,Regular
12614,277,1,315.6,At-Risk
12615,1,4,2291.19,High-Value
12616,94,2,713.3,At-Risk
12617,28,1,352.98,Occasional
12618,21,1,177.31,Occasional
12619,15,9,3641.24,High-Value
12620,14,3,1339.41,Regular
12621,1,20,13689.67,High-Value
12622,231,1,180.1,At-Risk
12623,275,1,305.1,At-Risk
12624,105,2,641.13,At-Risk
12625,211,2,2683.82,Regular
12626,22,9,6620.48,High-Value
12627,10,7,4478.53,High-Value
12628,3,3,786.46,Occasional
12630,9,2,1270.88,Occasional
12631,56,1,640.5,At-Risk
12633,58,4,2163.98,Regular
12635,89,2,1689.18,Regular
12637,66,8,6002.9,Regular
12638,32,1,671.69,Occasional
12639,238,1,486.1,At-Risk
12640,23,3,1174.58,Regular
12641,114,1,185.9,At-Risk
12642,24,3,1013.26,Regular
12643,127,6,3344.64,Regular
12644,129,1,477.91,At-Risk
12645,33,4,1775.18,Regular
12646,4,2,1346.97,Occasional
12647,21,12,3722.82,High-Value
12648,154,1,318.05,At-Risk
12649,106,3,623.51,Regular
12650,2,1,314.44,Occasional
12651,334,1,114.0,At-Risk
12652,330,1,919.98,At-Risk
12653,148,2,2209.85,Regular
12654,10,5,601.98,Occasional
12656,16,5,4051.17,Regular
12657,10,4,1643.18,Regular
12658,18,1,686.05,Occasional
12659,29,1,91.68,At-Risk
12660,10,1,245.1,Occasional
12662,0,11,3849.78,High-Value
12664,7,9,4881.88,High-Value
12665,324,1,63.0,At-Risk
12667,57,1,620.13,At-Risk
12668,11,4,3807.15,Regular
12669,150,3,2744.0299999999997,Regular
12670,9,5,2996.05,High-Value
12672,329,1,225.89999999999998,At-Risk
12673,4,2,610.52,Occasional
12674,38,4,1970.6,Regular
12676,24,6,1331.39,Regular
12678,41,12,17628.46,High-Value
12679,58,4,1113.02,Regular
12680,0,4,862.81,Occasional
12681,14,22,13787.54,High-Value
12682,3,31,12279.82,High-Value
12683,3,15,8476.57,High-Value
12684,7,7,2283.63,High-Value
12685,27,6,2863.08,Regular
12686,371,1,89.14,At-Risk
12688,113,1,4873.8099999999995,Regular
12689,25,2,1247.61,Regular
12690,205,1,389.01,At-Risk
12691,27,6,1035.8,Regular
12693,126,4,855.91,Regular
12694,69,2,869.67,Regular
12695,6,4,582.1,Occasional
12697,28,3,957.59,Regular
12700,7,4,4939.99,High-Value
12701,79,2,797.71,Regular
12702,19,1,219.0,Occasional
12703,70,1,283.55,At-Risk
12704,6,8,2340.84,High-Value
12705,14,9,6868.29,High-Value
12707,291,1,603.42,At-Risk
12708,29,10,2712.91,High-Value
12709,14,15,9706.52,High-Value
12710,96,3,1149.02,Regular
12712,28,13,4396.13,High-Value
12713,0,1,848.55,Occasional
12714,8,5,4708.86,High-Value
12715,105,1,343.36,At-Risk
12716,3,2,1053.49,Occasional
12717,150,2,1030.98,Regular
12718,70,1,238.25,At-Risk
12719,4,2,644.95,Occasional
12720,2,25,5781.73,High-Value
12721,31,6,2656.13,Regular
12722,84,4,997.63,Regular
12723,3,5,725.07,Occasional
12724,4,4,1031.41,Occasional
12725,370,1,427.8,At-Risk
12726,27,7,2609.1,Regular
12727,10,7,3980.7,High-Value
12728,70,4,836.33,Regular
12729,113,1,453.01,At-Risk
12731,23,12,18895.91,High-Value
12732,179,1,236.26000000000002,At-Risk
12733,233,1,383.95,At-Risk
12734,352,1,110.39999999999999,At-Risk
12735,314,2,779.5699999999999,At-Risk
12736,332,1,234.0,At-Risk
12738,371,1,155.35,At-Risk
12739,77,2,1013.04,Regular
12740,63,1,427.6,At-Risk
12743,133,2,540.13,At-Risk
12744,51,7,21279.29,High-Value
12747,1,11,4196.01,High-Value
12748,0,209,33053.19,High-Value
12749,3,5,4090.88,High-Value
12750,128,1,275.88,At-Risk
12752,80,1,4366.78,Regular
12753,22,6,21429.39,High-Value
12754,235,3,3010.74,Regular
12755,280,2,3811.95,Regular
12756,86,1,112.07999999999998,At-Risk
12757,15,13,7834.650000000001,High-Value
12758,116,2,2791.59,Regular
12759,51,3,1531.44,Regular
12762,7,2,1898.52,Occasional
12763,137,2,494.08,At-Risk
12764,316,1,1693.88,At-Risk
12766,3,7,6989.63,High-Value
12769,238,1,1143.6,At-Risk
12770,210,1,1351.45,At-Risk
12772,59,1,892.47,At-Risk
12775,16,5,1386.04,Regular
12778,19,6,822.23,Regular
12779,37,8,3981.36,Regular
12781,63,2,826.74,Regular
12782,4,5,2330.92,High-Value
12783,1,6,2225.91,High-Value
12784,8,2,532.8199999999999,Occasional
